SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,19.4812,8.52803,2.00409,4.28299,19.347,8.30741,19.5042,8.5289,1.90381,4.49819,3.70471
R,19.5729,8.73533,1.89585,4.30245,19.6843,8.35902,19.5966,8.75494,1.7919,4.53956,0.539342
L,19.7344,8.90998,1.95134,4.25491,20.0039,8.8906,19.6835,8.983,1.67841,4.57848,4.10746
R,19.8085,9.13,1.79771,4.29117,19.6061,9.48659,19.7645,9.21294,1.56341,4.61488,1.01202
L,19.9382,9.3576,1.78331,4.33978,20.1574,9.45949,19.8398,9.44463,1.44697,4.64869,3.06355
R,19.9844,9.57743,1.5678,4.35904,19.6163,9.76606,19.9093,9.67795,1.32916,4.67984,2.67256
L,20.0709,9.81945,1.48398,4.4296,20.1573,9.90876,19.9728,9.91275,1.21005,4.70826,0.820606
R,20.1318,10.0683,1.37987,4.51439,19.1911,11.5493,20.0303,10.1489,1.08972,4.73389,7.20351
L,20.179,10.3434,1.22259,4.62657,20.166,10.4687,20.0818,10.3863,0.968259,4.75666,0.989072
R,20.1953,10.5784,0.990515,4.64081,19.6774,10.803,20.1271,10.6247,0.845742,4.77652,2.96325
L,20.253,10.8537,0.874217,4.73392,20.371,11.0109,20.1663,10.864,0.722256,4.7934,2.0758
R,20.2818,11.1107,0.73891,4.7915,19.4335,12.3402,20.1993,11.1041,0.597892,4.80727,4.89402
L,20.3159,11.3499,0.624157,4.80693,20.3164,11.3483,20.2261,11.3449,0.472738,4.81807,0.000160713
R,20.2618,11.5978,0.246321,4.78529,19.2063,12.2418,20.2466,11.5861,0.346889,4.82575,10.7406
L,20.3333,11.8385,0.226626,4.79793,20.6141,11.9422,20.2608,11.8275,0.220439,4.83027,4.77151
R,20.3594,12.0728,0.205852,4.82321,19.966,11.9688,20.2687,12.0692,0.093487,4.83159,3.67386
L,20.3453,12.3618,0.0208121,4.90235,20.3263,12.4966,20.2701,12.3108,-0.0338694,4.82968,1.12972
R,20.2954,12.5999,-0.265505,4.85224,20.0192,12.4823,20.2652,12.5522,-0.161529,4.82451,3.25469
L,20.3206,12.8389,-0.322353,4.84259,20.498,12.8924,20.254,12.7933,-0.28939,4.81605,1.85069
R,20.3084,13.0694,-0.446906,4.8102,20.9151,12.2555,20.2363,13.0339,-0.417348,4.80428,2.10327
L,20.2738,13.2819,-0.583045,4.75208,20.1943,13.1688,20.2122,13.2738,-0.545298,4.78918,1.01912
