SensorType,Px_pred,Py_pred,Vx_pred,Vy_pred,Px_meas,Py_meas,Px_gt,Py_gt,Vx_gt,Vy_gt,NIS
L,17.1397,18.91,-3.51278,2.9132,17.1762,18.8863,17.0983,19.0521,-3.69883,3.06904,0.151247
R,16.9736,19.0794,-3.56579,2.89169,16.9398,19.7311,16.9113,19.203,-3.78221,2.9678,2.98484
L,16.7467,19.2047,-3.74021,2.77881,16.5734,19.052,16.7201,19.3488,-3.86278,2.86455,2.84898
R,16.5495,19.3635,-3.8744,2.72141,16.1674,20.2201,16.5251,19.4894,-3.9405,2.75938,3.28667
L,16.2978,19.5476,-4.13259,2.75384,16.2338,19.6171,16.3262,19.6246,-4.01531,2.65237,0.71305
R,16.0774,19.6262,-4.23013,2.47601,16.4366,18.2742,16.1237,19.7545,-4.08716,2.54364,10.1484
L,15.8672,19.7722,-4.31513,2.409,15.9243,19.8703,15.9176,19.8789,-4.15602,2.43329,0.689744
R,15.6881,19.8919,-4.1672,2.34287,16.2328,19.2166,15.7082,19.9978,-4.22185,2.32141,3.2757
L,15.4387,20.0604,-4.36909,2.3796,15.4332,20.1836,15.4956,20.111,-4.28461,2.2081,0.980261
R,15.2085,20.2156,-4.46728,2.38396,14.3677,21.3406,15.2799,20.2185,-4.34427,2.09347,5.31617
L,15.0443,20.3307,-4.36262,2.25773,15.2016,20.4385,15.0613,20.3203,-4.4008,1.97763,2.02982
R,14.812,20.4121,-4.46309,2.06932,14.7476,19.9571,14.84,20.4162,-4.4542,1.86068,2.30322
L,14.6024,20.5271,-4.48451,1.98841,14.6665,20.6088,14.6161,20.5063,-4.50443,1.74272,0.57155
R,14.3545,20.6208,-4.65182,1.84377,13.841,21.0031,14.3897,20.5904,-4.55149,1.62386,1.19752
L,14.1122,20.6895,-4.70485,1.67874,14.0521,20.5924,14.1611,20.6686,-4.59537,1.50421,0.692723
R,13.8678,20.7658,-4.81089,1.52079,13.8232,20.859,13.9304,20.7408,-4.63606,1.38386,0.224333
L,13.5844,20.8313,-4.9576,1.37758,13.4686,20.7253,13.6977,20.807,-4.67357,1.26294,1.34691
R,13.3299,20.8663,-5.08911,1.10871,13.8263,20.4261,13.4632,20.8671,-4.70789,1.14153,1.82208
L,13.098,20.8926,-5.03746,0.888388,13.1072,20.8294,13.2271,20.9211,-4.73904,1.01975,0.262472
R,12.8685,20.9524,-4.96588,0.78887,13.2669,21.1579,12.9895,20.969,-4.76702,0.897694,2.02794
L,12.7037,20.974,-4.75433,0.590459,12.8729,21.0592,12.7506,21.0108,-4.79186,0.775469,2.16994
R,12.445,21.0193,-4.83993,0.487533,11.5171,21.6724,12.5106,21.0465,-4.81358,0.653175,2.57525
L,12.1958,21.0563,-3.7315,3.17361,12.2062,21.11,12.2695,21.0761,-4.83219,0.530912,0.166983
R,11.9843,21.0615,-4.24676,2.27066,12.3859,21.1066,12.0276,21.0996,-4.84773,0.408778,2.627
L,11.7526,21.0374,-4.17281,2.40521,11.6814,20.8651,11.785,21.117,-4.86022,0.286869,2.59377
R,11.5134,20.9585,-2.20332,4.28107,11.5265,20.6748,11.5418,21.1283,-4.86971,0.165281,1.43431
L,11.414,21.0964,0.727263,4.80592,11.363,21.0688,11.2982,21.1335,-4.87623,0.0441057,0.207558
R,11.2482,21.0646,-0.0426292,4.40178,10.5558,20.5567,11.0544,21.1327,-4.87982,-0.076565,12.9881
L,11.0481,21.1532,-0.687746,4.15478,10.8903,20.927,10.8105,21.1259,-4.88053,-0.196643,5.18132
